Class,WorkOrderType,Param_Temperature,Param_Time,Param_Quality,Param_Boil-time,Param_Amount,Param_StirTume,Param_Pressure,Param_Humidity,Param_PercentContamination,Param_OriginalGravity,Param_FinalGravity,Param_AlcoholbyVol,Param_PrimaryFerment,Param_SecondaryFerment,Material_Pale-2-row,Matarial_Black-Patent-Malt,Matarial_Chocolate_Malt,Matarial_Roasted_Barley,Material_Carapils,Material_Rolled-oats,Material_Torrified-Wheat,Material_Northern_Brewer_Hops,Material_Fuggle,Material_Irish_Moss,Material_Yeast Irish Ale yeast starter,Material_Grapes,Material_Barley,Material_Wheat,Material_magnesium stearate,Material_yellow color 5,Material_Essence 5,Material_Vanilla extract,Material_Blackberry extract,Material_Molasses,Material_Beer,Material_sugar,Material_Milk,Material_Yoghurt
0,2,67,50,73,90,26,76,15,45,52,57,78,26,53,96,15,,81,18,12,92,65,48,51,72,,54,,42,,33,87,44,77,82,72,,68,
1,4,30,67,53,63,16,87,46,65,,31,,90,43,68,95,,10,,14,6,68,68,44,48,88,70,,81,,5,,14,66,,22,,8,
0,4,88,59,,95,14,10,,28,47,57,66,1,36,75,94,95,52,8,52,,3,61,58,32,36,30,32,14,99,6,,56,31,98,40,69,75,
0,2,38,8,89,66,15,71,28,91,,23,,11,97,38,20,73,74,20,40,90,99,90,4,34,,84,1,30,,28,74,64,99,64,69,,81,
1,2,80,53,90,24,22,4,21,39,15,17,79,72,72,1,66,,8,23,24,98,32,96,51,69,12,3,75,90,,86,98,55,90,26,28,,28,
0,3,94,33,64,24,26,20,52,22,9,10,3,94,60,17,18,79,79,12,89,57,81,34,32,35,30,100,65,88,,67,,28,40,70,50,,56,
1,2,61,68,,83,25,16,,73,30,58,49,19,31,9,58,,71,,69,,55,97,,76,52,37,70,71,,84,,23,66,,21,,35,20
0,3,11,,,76,24,60,,81,8,66,25,23,46,27,36,,1,,56,,51,75,,97,,24,,56,,37,,2,79,,34,,63,
0,2,23,3,80,38,72,41,55,14,72,73,92,40,94,14,95,,10,34,1,9,21,21,69,17,71,71,30,60,,41,,83,86,35,62,,24,94
0,2,18,100,14,8,85,77,96,68,60,90,43,51,39,33,4,,54,46,32,61,81,82,63,72,,44,96,7,,94,,94,42,,82,,64,50
0,2,11,55,,84,96,15,,88,33,98,68,36,41,32,26,55,41,,83,,64,20,,63,42,29,55,64,,16,,9,37,,87,,58,
0,3,,59,81,53,,22,37,21,91,85,68,23,,,63,,76,,66,36,67,22,,49,30,47,,61,,21,,82,8,43,20,,40,
1,1,,59,39,29,,37,84,39,70,26,95,71,,,61,,82,67,36,100,40,1,67,26,25,69,,97,,92,81,86,51,65,97,,54,
0,1,62,51,100,97,63,21,37,76,56,29,46,92,72,82,74,58,52,,68,78,57,52,53,34,23,43,88,6,,83,,90,35,,63,,100,
0,2,41,15,60,98,81,11,17,14,12,97,2,40,97,27,56,,31,2,32,77,61,54,34,53,13,9,6,4,,52,,90,61,,10,,100,
0,1,67,59,,5,2,61,,99,89,27,65,26,48,7,23,,11,,71,,83,38,93,9,,68,,62,,86,,20,39,33,17,,63,
1,4,6,27,34,46,69,67,4,8,66,46,77,84,76,82,85,88,37,,33,97,62,62,,51,,68,96,58,80,83,,29,26,,28,72,58,
0,2,39,40,2,61,96,73,71,41,37,43,10,56,20,57,11,,70,,13,79,95,20,11,84,25,61,99,55,,49,57,67,27,,39,,39,46
1,2,89,96,21,44,69,76,19,33,80,49,60,10,7,76,63,73,15,,10,62,94,41,81,40,35,23,,74,,56,,99,64,67,98,,44,
1,1,65,28,32,4,63,51,95,72,51,75,23,80,8,58,24,84,61,,8,88,6,56,,66,45,2,,67,,97,,56,38,10,3,,58,
1,4,61,92,97,19,83,80,9,29,52,23,80,15,90,43,5,,14,,94,24,31,70,32,94,74,70,50,64,36,93,,23,30,15,27,51,60,
0,1,95,99,79,58,100,73,26,84,42,39,100,3,52,57,68,,66,70,16,43,22,78,67,74,,38,49,80,73,27,,48,1,14,88,73,30,
1,1,37,21,31,40,55,89,43,37,,50,,27,44,78,35,,70,75,5,60,49,59,83,90,,3,,17,,43,9,84,84,100,92,,82,
0,4,56,21,,82,64,13,,87,48,77,14,52,87,52,69,,81,,72,,77,37,,82,,66,65,70,44,29,,40,94,,34,89,52,
1,2,52,42,50,100,33,25,86,10,54,16,46,7,13,88,37,,65,49,87,39,13,59,69,85,,41,,60,,90,,39,92,,60,,95,85
0,3,23,68,33,8,46,75,39,96,84,86,23,13,37,96,87,,73,,33,32,36,24,51,62,84,82,,18,,55,,17,97,,60,,34,
0,4,66,37,,50,95,64,,33,52,8,99,80,42,53,27,,66,,32,,41,29,5,42,61,78,,74,,29,17,41,20,48,27,,11,
1,4,26,22,64,70,61,70,20,99,,8,,34,73,8,61,,12,42,9,16,28,59,,90,,67,8,66,,1,,89,53,,59,,99,
1,3,5,39,47,56,58,79,13,21,88,38,76,55,86,24,24,,46,36,30,42,55,50,95,4,,26,15,71,,42,,45,71,77,35,,55,
0,3,,61,87,9,,23,58,3,,88,,4,,,93,,66,,15,61,81,50,97,56,,28,16,50,83,67,,3,72,12,81,99,30,
1,3,6,94,31,72,70,36,100,61,81,46,58,65,67,3,36,,26,,28,3,60,94,68,23,93,8,,75,,21,36,64,35,,57,,44,
0,1,40,32,3,10,94,83,77,4,7,91,68,91,63,44,42,56,28,30,61,8,25,49,66,90,4,96,,68,,64,100,1,40,,23,,23,
1,1,46,63,22,63,42,14,15,7,,66,,98,20,32,18,,94,,86,33,69,79,,54,15,21,,49,,24,,61,37,86,4,,8,
1,1,91,70,43,91,10,43,13,81,60,49,96,44,45,44,6,,29,,11,31,80,45,76,88,,69,95,22,,72,15,55,15,,22,,6,
1,1,36,81,23,100,56,25,23,49,,95,,73,67,3,49,,35,,57,15,62,96,87,94,,96,44,88,,38,,38,77,91,90,,69,
1,1,64,36,4,45,75,35,36,17,81,35,55,83,68,21,14,,76,,53,55,78,79,,35,39,78,16,28,,69,58,25,19,48,9,,25,
0,1,30,,92,72,14,25,17,79,,70,,50,51,89,65,10,33,82,46,60,57,24,63,77,98,14,29,71,,20,,10,84,48,83,,61,
1,3,84,43,51,86,91,33,20,37,53,72,80,31,19,39,75,,57,,56,33,41,53,13,98,80,81,58,99,,71,,46,4,16,48,,59,
0,1,56,14,77,56,47,41,56,10,74,49,21,18,16,85,44,,41,,75,53,65,42,,43,96,49,51,18,,94,,74,47,12,69,,95,
0,3,44,64,87,94,37,27,84,83,74,89,13,41,66,8,10,,91,50,3,74,61,46,,64,78,37,79,34,47,60,,59,43,,18,12,82,
1,2,59,11,85,92,80,28,10,37,76,70,18,39,30,66,10,,55,,86,98,13,84,86,63,,44,,26,,84,93,49,20,,31,,72,
0,4,25,5,48,91,38,8,93,70,39,39,36,63,58,54,30,4,64,65,50,41,64,49,,13,32,13,56,39,,8,97,47,97,,30,,98,
0,1,1,,38,48,44,73,89,30,51,65,55,65,13,14,65,,99,,99,6,71,97,25,81,84,62,,64,61,39,,6,15,,20,51,50,28
0,2,,1,83,3,,38,72,52,32,95,41,95,,,34,1,23,,41,40,46,24,36,15,63,41,86,51,,5,,46,33,38,79,,52,
1,1,22,72,65,47,80,79,79,58,2,54,25,93,93,41,33,,29,,10,16,93,41,32,98,,92,86,45,,47,,40,41,,10,,28,
0,3,19,30,70,57,81,81,26,74,,91,,53,22,2,49,,75,61,96,91,53,77,,56,98,10,,36,,27,,43,10,,63,,52,
0,1,5,74,94,43,48,40,94,8,48,27,100,31,21,91,45,,87,55,72,34,9,52,13,84,,88,,11,100,45,,49,71,,50,57,79,72
0,2,51,39,1,52,59,96,8,63,76,74,85,48,79,9,75,,32,,39,55,14,79,74,61,,5,15,98,,41,,27,13,40,76,,54,
0,2,76,7,34,36,27,53,58,51,11,20,92,6,19,62,62,,32,42,58,50,80,37,,85,,90,16,3,,9,,19,31,,75,,47,
0,1,35,69,99,42,74,70,44,75,35,93,21,57,72,65,57,,28,,3,79,96,75,9,79,47,26,39,94,,47,,42,95,,5,,99,
1,3,44,20,,49,10,87,,14,100,86,99,100,60,15,96,71,13,39,32,,77,100,66,6,,43,29,26,,37,,28,61,,16,,96,
0,1,85,32,12,6,84,86,38,95,88,82,45,48,68,65,93,12,73,,95,60,49,71,,52,,44,,2,,28,,64,70,55,14,,100,
0,1,49,74,66,36,52,59,94,10,63,38,94,9,11,1,85,,34,,76,15,25,91,22,7,,69,48,87,45,11,,46,40,44,57,45,56,
1,2,,28,59,85,,51,25,58,4,28,53,90,,,92,,97,78,91,92,58,90,84,93,21,19,,5,,20,71,36,18,,89,,14,
1,1,71,94,10,39,22,31,78,16,15,95,91,12,72,28,33,,86,,6,50,94,77,30,76,57,22,,70,,16,4,12,73,55,57,,23,
1,2,47,86,,71,61,61,,95,93,13,93,8,81,59,9,,39,,12,,4,84,35,56,40,30,91,40,,77,,2,57,10,89,,95,14
0,1,16,30,56,35,31,66,24,41,71,5,92,50,70,70,41,,82,75,89,71,49,25,,40,56,96,8,81,,47,28,96,79,77,51,,33,
0,2,80,81,58,66,77,69,37,67,65,25,47,29,4,84,76,,10,88,10,85,53,8,72,59,93,76,72,96,,27,,71,69,58,26,,11,89
0,1,2,58,31,79,47,83,5,11,,81,,13,23,73,9,58,6,21,83,84,65,6,35,36,28,26,86,69,,47,1,1,74,,9,,93,
1,4,71,,,16,49,40,,44,46,98,19,26,91,57,17,,72,50,44,,47,50,57,50,80,62,20,77,,55,,25,61,51,11,,79,
1,2,74,7,,39,39,89,,81,49,77,44,69,7,52,7,,4,51,52,,1,20,82,99,,84,30,30,,92,,74,16,,76,,72,
1,3,39,49,45,8,88,31,37,66,,64,,2,10,43,94,,86,24,98,12,33,100,13,8,66,33,,5,,28,,88,9,,1,,19,37
1,4,20,86,87,53,8,83,14,44,33,66,60,79,45,19,36,,44,,84,52,23,97,,20,24,85,41,79,,41,,22,35,,100,,66,
1,2,51,12,56,55,34,29,37,23,,37,,19,62,57,77,,97,,10,74,71,93,74,52,24,2,52,30,,10,,95,36,,78,,77,
1,2,80,39,3,5,26,59,68,30,32,28,19,93,93,55,28,,19,,10,75,28,37,39,39,54,19,13,32,88,73,,47,68,22,15,38,80,
0,3,96,23,,32,75,76,,37,22,35,67,44,76,71,71,,1,,44,,14,10,,70,,63,39,78,,63,43,45,43,8,82,,63,
0,4,16,69,35,9,4,94,93,19,,79,,12,28,99,20,39,43,,63,51,39,84,42,17,,61,,16,,60,,3,100,,20,,69,
1,3,10,35,72,81,58,79,23,44,24,68,55,40,58,75,39,,26,,54,44,98,44,59,99,,98,62,15,,98,,25,83,66,32,,46,
0,2,20,39,67,11,39,66,14,70,99,24,60,100,77,97,18,70,24,,26,24,94,76,54,99,61,74,99,38,,4,99,38,79,,79,,32,
0,1,47,28,51,18,98,18,3,81,77,73,57,84,53,18,72,,93,,37,5,27,15,47,7,,50,,81,,3,,70,89,,76,,92,80
1,3,4,49,,91,82,65,,33,54,44,16,62,56,49,48,,98,,16,,70,35,84,64,,40,,54,84,32,96,59,20,,18,49,4,
1,3,61,35,69,87,97,47,94,57,82,44,99,22,6,39,96,93,92,80,67,58,27,1,77,28,15,43,79,82,,90,86,33,59,,71,,5,
0,3,85,60,39,29,2,17,98,57,97,92,19,28,1,93,56,,21,,71,65,46,47,60,12,27,20,43,25,,63,74,37,64,6,50,,23,
0,1,74,42,24,78,98,4,58,59,3,4,20,61,96,2,34,,5,34,63,79,32,36,4,39,65,94,12,67,,52,3,73,85,19,63,,29,
1,3,43,,12,50,63,58,29,58,35,68,95,46,8,92,22,,33,47,63,19,30,16,57,77,32,29,,45,,21,,51,87,,8,,32,
1,3,17,89,56,88,51,10,11,42,22,9,49,70,3,4,93,,80,,27,58,42,14,64,19,,92,31,93,,79,86,78,26,75,88,,55,
0,2,98,10,37,22,43,84,24,51,44,88,41,6,59,76,27,,66,23,54,17,56,34,11,33,90,95,1,85,,8,,37,69,2,51,,42,
1,2,40,,,14,45,100,,30,1,63,98,51,95,16,83,,37,1,22,,81,67,34,72,25,48,81,93,,18,,53,99,87,66,,65,
1,3,39,75,23,52,91,51,48,33,63,18,85,13,67,19,47,,74,,98,12,94,3,93,10,100,26,,49,,80,,81,80,80,52,,96,
0,4,22,78,,57,71,72,,67,14,39,11,39,93,67,4,,17,,67,,4,18,14,44,,98,,47,,99,,92,9,92,22,,44,
1,4,99,76,52,76,44,29,3,28,65,66,46,86,2,48,58,,4,29,4,83,43,86,57,83,,69,84,66,,43,,74,54,13,6,,18,
1,2,54,37,75,47,83,89,81,56,85,28,83,63,42,64,1,38,67,,1,13,91,90,36,44,,36,83,78,78,70,,40,10,,56,78,82,
1,3,88,97,,4,59,29,,17,,89,,67,68,3,7,,96,96,32,,51,85,,40,,31,1,80,,79,,8,76,96,70,,7,
0,2,,27,39,68,,48,86,47,84,95,91,57,,,85,,6,,56,27,91,71,39,31,75,63,,34,100,32,,54,49,,49,58,38,
1,3,57,94,78,79,85,66,44,11,100,13,53,34,7,84,97,,26,,39,62,78,79,,75,10,63,66,39,91,40,,44,32,,20,16,86,
1,1,89,34,15,3,28,10,60,80,,51,,89,34,46,92,,14,,56,71,9,77,,42,57,35,75,86,,9,,33,80,3,4,,35,
0,2,46,77,24,3,43,46,2,84,71,8,93,46,92,48,11,,40,,14,66,76,61,88,11,26,89,,97,,61,,43,5,,16,,5,29
1,3,18,45,51,22,45,79,20,25,23,71,49,63,27,54,74,97,47,,53,80,4,12,92,87,90,28,86,19,,69,67,38,10,,75,,44,
0,2,29,100,73,20,71,65,24,74,21,27,3,33,67,4,60,,66,,52,79,59,7,,52,86,61,,15,,59,54,92,5,16,51,,62,
1,4,33,16,75,51,67,34,6,87,52,76,62,35,15,35,79,,54,46,12,49,8,17,73,77,67,83,30,28,,1,,86,57,,17,,98,85
1,3,80,1,14,9,16,24,54,5,25,48,64,93,54,47,36,,32,63,19,69,70,4,36,23,32,70,88,36,,27,,88,86,100,62,,67,
1,4,75,1,3,79,77,32,25,24,100,98,99,18,8,73,28,,13,63,62,38,5,28,88,71,,63,76,5,,18,69,54,15,20,15,,68,
0,4,60,51,94,66,6,53,48,78,,37,,98,54,98,22,,98,,95,48,56,15,79,16,70,79,62,87,,16,,71,2,18,52,,31,
1,3,2,28,61,24,63,85,80,46,14,22,49,34,20,32,67,,39,,51,23,6,20,82,30,62,72,77,95,,69,,67,99,72,47,,14,60
1,1,16,71,11,43,88,16,56,97,7,34,93,51,37,88,63,,68,,3,28,81,52,61,36,73,8,,42,71,19,,95,78,1,43,23,80,
0,4,63,66,66,66,100,91,90,83,14,100,73,86,6,60,57,,1,,61,89,16,21,2,2,49,98,,15,,59,,27,44,,100,,68,
0,1,,34,,18,,77,,62,,88,,7,,,89,,99,47,15,,34,18,4,75,80,57,82,74,,58,,63,21,,35,,54,
0,4,,20,79,39,,75,22,7,,16,,67,,,22,,59,,70,52,11,48,,57,,31,,33,,84,,27,97,,75,,20,
1,1,89,49,58,87,32,38,97,77,,91,,92,38,82,45,,48,93,67,76,62,70,,4,,1,51,49,,8,,14,98,73,45,,34,
0,3,55,,93,69,33,60,97,12,1,63,89,64,82,74,58,91,30,26,70,61,67,14,,12,,65,,65,81,54,93,92,93,44,11,100,4,
0,4,64,8,85,97,18,88,27,16,89,31,31,82,32,63,45,,47,,74,48,8,15,15,66,,8,,26,31,97,96,26,14,48,95,21,24,
0,3,,45,66,92,,72,68,97,99,94,52,56,,,83,,15,,50,89,76,87,61,94,97,6,38,89,,87,,93,64,,24,,7,
0,3,50,4,,71,15,92,,31,2,32,72,55,32,62,13,,53,36,100,,39,82,,53,,98,,64,,87,,5,37,,96,,63,
1,2,55,67,4,19,96,31,43,48,,1,,78,51,65,7,,72,21,35,83,39,31,68,10,,70,83,58,,88,,13,39,83,27,,93,
1,4,64,1,48,66,83,5,89,100,70,18,83,74,73,69,9,,35,48,18,93,76,80,14,50,,5,,51,,24,,85,96,,70,,87,
0,2,38,14,64,10,55,19,48,80,,50,,42,53,23,9,40,74,,84,82,2,8,12,41,93,14,83,67,,71,78,92,85,29,79,,26,55
1,2,20,8,52,30,93,21,79,99,100,21,71,48,55,8,49,,32,,2,33,50,83,1,47,79,18,59,54,37,30,,35,97,93,56,20,81,
0,2,43,75,62,42,60,85,45,42,90,94,49,20,11,70,40,46,30,,83,6,22,10,95,32,89,8,87,66,,77,,87,36,19,69,,9,
0,1,77,96,70,36,78,7,1,74,26,91,39,48,60,39,87,,31,,54,2,4,3,44,99,36,52,,56,92,63,,10,8,75,23,73,37,
1,3,52,,49,100,40,81,18,53,33,49,65,98,94,98,98,,60,,51,60,15,88,34,10,,45,,84,,62,,86,34,72,61,,19,
0,2,50,33,71,94,75,72,89,69,86,89,1,54,28,85,100,,91,,95,90,55,22,40,95,47,50,19,62,,31,,74,50,10,60,,40,
1,1,84,15,39,38,34,78,85,19,17,30,3,17,66,13,91,50,93,,78,89,72,23,,97,73,95,36,38,87,68,,82,49,,55,48,37,
1,4,77,79,41,81,72,43,57,56,3,53,39,11,86,56,21,,79,,72,14,47,77,,92,25,61,,49,,41,,68,57,,38,,12,
1,2,,29,42,27,,87,71,95,54,9,29,6,,,11,,55,,26,98,61,66,87,23,81,78,53,89,,18,,40,34,,77,,36,
1,3,25,77,1,5,28,41,14,63,,14,,57,20,34,86,,60,90,34,76,28,62,31,30,,41,99,88,,74,74,84,51,3,52,,29,
1,4,50,60,65,13,3,95,75,96,,61,,8,96,15,11,4,47,,69,25,88,65,94,3,52,53,22,31,,92,,28,69,,84,,100,
0,4,16,38,40,43,30,11,89,94,47,18,88,100,57,56,46,,7,,89,46,40,96,,59,,5,50,94,32,81,,88,53,5,24,71,13,
1,4,36,92,39,27,63,25,98,86,97,38,55,63,44,76,86,,74,88,96,47,88,100,,100,59,35,71,22,,70,96,37,18,83,11,,68,
1,3,16,98,30,82,32,33,2,89,82,41,85,75,47,16,68,,54,33,48,13,40,60,48,6,,27,,57,,76,,96,56,,61,,60,
0,1,30,,100,11,31,14,96,1,79,67,10,84,92,53,94,96,77,70,100,8,46,64,,90,50,31,95,24,,84,,37,40,,70,,10,
1,1,,,6,67,,3,49,11,14,60,85,82,,,87,14,85,,53,75,76,79,32,100,,59,75,76,62,4,,78,38,12,24,7,47,
0,2,14,60,,54,25,86,,51,7,11,49,22,17,25,83,,76,,28,,84,56,13,85,52,46,89,28,,86,,17,22,,22,,61,
1,3,,77,13,24,,18,95,70,77,4,7,17,,,68,,21,,93,43,69,57,98,72,,34,,91,,82,,44,94,,49,,22,
0,1,59,55,4,93,20,84,21,79,40,10,71,35,98,95,21,,28,,68,70,38,10,96,70,43,12,38,78,,5,5,68,3,89,70,,5,
0,2,52,31,,5,3,16,,12,,2,,47,97,74,81,,74,,32,,2,50,,91,36,1,,68,,61,42,52,87,,32,,48,
0,1,63,72,,93,93,27,,62,89,97,14,76,56,63,46,,57,,87,,77,87,64,7,,82,19,54,,96,96,27,57,49,90,,43,
1,2,2,75,89,47,100,56,3,78,98,13,51,60,29,95,84,89,94,,2,34,92,13,60,99,,79,,57,,82,,80,65,,33,,51,94
1,3,55,24,25,8,36,60,58,54,35,79,75,31,27,21,13,,64,96,15,65,67,75,,69,,71,,1,,50,98,50,90,60,74,,64,98
1,2,31,24,44,35,27,95,58,98,,37,,21,98,71,71,,56,,69,10,86,100,83,25,,14,42,21,14,12,65,89,31,,11,17,22,
1,1,47,3,,21,78,76,,39,46,90,15,55,49,37,2,,80,,17,,83,50,,65,7,100,94,62,48,57,64,47,68,30,21,32,28,
0,1,88,,18,32,96,65,78,11,16,57,85,30,94,69,71,,35,,83,67,64,93,,27,,54,8,29,,71,3,63,44,,15,,88,
1,3,91,33,11,54,49,95,8,69,65,95,47,31,62,83,74,,6,,42,40,9,22,23,33,,8,,55,,25,,76,99,,97,,1,
0,3,98,89,,43,23,29,,100,10,51,48,99,58,82,71,,9,,3,,88,76,10,8,16,57,,7,,49,,35,7,,39,,29,
1,4,71,98,96,49,58,5,55,88,4,1,21,30,92,33,2,,80,14,63,57,49,52,46,38,5,44,,42,,26,,15,24,17,54,,91,
1,3,56,87,48,78,11,5,97,53,15,97,53,97,7,95,43,,64,70,48,57,47,49,,68,6,17,43,69,,26,,37,57,33,63,,2,
1,2,76,4,89,36,13,93,29,8,,88,,54,6,5,30,,1,,63,85,66,41,,23,50,26,28,55,,45,,97,47,4,31,,11,
1,4,8,33,72,7,3,40,97,62,95,85,45,31,51,98,81,,2,,61,2,29,43,74,73,,83,5,64,44,90,,12,39,30,8,19,34,
1,2,14,76,85,21,64,57,92,70,,41,,61,89,46,52,,91,,59,67,95,94,,38,62,62,27,49,,96,79,84,95,17,74,,46,
1,1,82,87,34,80,21,62,56,1,87,6,82,53,2,33,2,,61,,21,27,51,93,,19,39,89,34,85,,32,,96,68,79,42,,63,
0,4,83,61,59,33,98,91,70,1,,99,,36,63,7,14,,33,,44,10,57,21,72,32,58,52,,7,,86,,49,69,,100,,99,
1,1,9,100,20,16,40,47,29,21,74,65,18,29,70,78,46,,13,,73,24,72,16,75,25,57,51,93,69,96,61,93,41,28,,50,46,58,
0,1,52,10,99,8,15,33,37,41,12,17,92,79,39,16,65,,40,,18,28,25,55,88,72,26,95,24,51,,51,,50,57,57,42,,5,90
0,1,,87,38,4,,89,79,7,100,69,88,33,,,59,,25,,95,9,59,89,30,62,,59,41,7,,60,22,53,84,55,66,,85,
0,2,37,36,37,21,20,19,43,80,,62,,33,3,14,55,,38,,75,43,21,68,37,91,,19,30,32,,67,82,71,11,,76,,25,
0,2,85,31,,51,59,40,,82,22,5,32,41,84,3,87,,100,2,98,,13,32,,79,20,44,42,47,,87,73,31,41,32,98,,76,
1,3,75,38,34,74,42,44,18,48,86,40,96,70,48,72,19,,85,21,38,1,88,36,95,89,19,4,85,17,,55,,41,46,88,36,,78,
1,2,73,4,52,93,31,77,5,64,91,10,10,55,58,59,43,,74,63,35,28,61,40,48,62,47,7,,11,,89,,43,76,43,38,,4,
1,4,67,48,88,95,19,57,57,82,55,38,60,99,60,67,59,29,19,36,10,8,22,18,,91,,58,10,85,46,21,,15,60,23,89,75,65,
