Class,WorkOrderType,Param_Temperature,Param_Time,Param_Quality,Param_Boil-time,Param_Amount,Param_StirTume,Param_Pressure,Param_Humidity,Param_PercentContamination,Param_OriginalGravity,Param_FinalGravity,Param_AlcoholbyVol,Param_PrimaryFerment,Param_SecondaryFerment,Material_Pale-2-row,Matarial_Black-Patent-Malt,Matarial_Chocolate_Malt,Matarial_Roasted_Barley,Material_Carapils,Material_Rolled-oats,Material_Torrified-Wheat,Material_Northern_Brewer_Hops,Material_Fuggle,Material_Irish_Moss,Material_Yeast Irish Ale yeast starter,Material_Grapes,Material_Barley,Material_Wheat,Material_magnesium stearate,Material_yellow color 5,Material_Essence 5,Material_Vanilla extract,Material_Blackberry extract,Material_Molasses,Material_Beer,Material_sugar,Material_Milk,Material_Yoghurt
1,1,2,45,41,7,78,36,55,27,29,100,7,45,56,80,20,11,86,92,9,98,94,82,45,65,39,64,31,8,91,32,37,44,91,18,23,97,87,3
0,4,30,61,40,45,89,81,39,77,34,59,89,53,58,51,63,79,50,50,59,79,14,68,59,22,98,21,80,25,69,80,58,25,81,93,33,45,51,93
0,4,79,51,55,84,50,1,62,78,44,2,36,54,24,29,43,80,63,55,100,27,62,50,54,96,21,16,98,62,58,19,20,83,28,80,90,93,61,74
1,1,5,70,54,91,94,8,69,85,42,92,82,6,19,80,23,74,51,73,36,39,90,92,93,97,16,2,47,26,81,53,87,27,18,29,82,60,15,38
1,4,14,40,70,59,46,37,32,38,58,82,66,80,3,1,60,30,44,32,45,38,57,38,75,41,12,66,49,72,95,66,18,27,67,16,14,35,85,17
0,4,25,33,17,76,7,7,61,37,7,6,37,20,36,91,26,19,74,90,4,39,44,10,65,44,39,10,12,90,60,58,95,6,54,35,45,45,17,5
0,1,36,29,90,28,14,22,21,90,1,85,81,46,21,74,55,3,58,83,45,48,97,37,82,26,28,61,59,21,75,54,26,73,33,7,49,85,90,85
0,1,56,35,58,76,82,1,25,11,52,69,7,21,23,64,10,67,8,92,60,59,61,38,64,28,12,99,57,43,8,54,82,66,91,1,69,92,90,72
1,2,82,8,39,64,81,31,88,81,46,33,45,68,60,14,40,35,5,13,54,85,22,45,1,8,59,58,26,53,39,31,55,5,3,18,32,54,62,89
0,4,6,81,74,8,35,50,17,16,5,29,31,56,83,22,77,72,45,50,37,4,92,95,79,39,5,3,25,90,49,40,73,57,28,98,32,6,100,76
1,1,83,24,93,3,55,41,65,59,27,11,97,36,43,46,11,89,56,62,30,38,75,1,93,70,4,45,66,60,83,52,49,70,91,93,24,14,63,13
1,2,77,71,100,25,78,59,5,80,86,97,1,34,8,71,29,3,24,95,96,15,23,50,40,10,13,87,57,44,44,79,79,20,97,78,26,98,37,30
0,1,38,30,75,38,47,52,58,22,30,61,18,45,91,17,47,85,97,8,38,33,33,62,27,94,30,33,16,43,100,100,7,54,80,87,33,22,19,68
1,2,47,73,15,86,35,34,53,22,7,3,40,49,70,57,100,78,21,69,82,51,55,48,25,51,100,14,70,12,63,44,7,80,69,22,4,98,29,36
0,1,65,16,64,83,24,12,69,77,52,56,28,20,51,19,57,49,93,46,52,88,42,76,37,52,40,79,2,67,11,20,36,32,29,38,10,82,46,45
0,1,72,40,87,71,99,18,98,28,96,92,20,54,68,12,87,1,37,39,26,2,29,8,16,9,53,98,23,42,9,84,31,94,44,53,95,75,73,62
0,3,49,23,56,95,57,72,56,39,11,82,78,96,21,82,24,44,27,35,3,57,11,35,86,94,93,29,19,35,82,90,88,50,33,55,28,5,86,21
1,1,82,87,59,96,65,3,36,10,80,25,36,3,87,72,52,6,49,79,48,78,5,6,78,54,37,64,61,91,36,28,1,85,86,100,92,41,33,91
0,4,10,89,8,72,41,39,78,9,67,74,92,36,4,49,62,96,85,3,51,85,34,35,66,64,17,59,47,57,30,74,46,17,50,54,86,95,63,1
0,3,11,100,35,75,92,53,65,34,98,46,16,50,36,50,1,17,69,36,60,14,81,75,39,40,22,65,87,18,55,3,33,84,78,61,22,60,75,24
1,3,67,20,54,3,6,46,56,37,32,72,34,47,31,36,27,56,64,53,55,5,19,61,66,71,32,57,76,14,22,75,91,87,40,24,63,48,48,6
0,2,4,70,67,23,81,96,17,44,89,9,54,74,35,41,1,91,99,35,18,82,64,19,70,33,52,19,38,48,79,5,36,83,72,64,1,99,11,22
0,1,8,28,85,37,100,15,97,64,82,6,12,29,74,70,62,96,43,25,1,79,95,83,8,76,43,67,16,22,43,73,61,33,69,7,91,12,21,79
1,1,21,92,12,49,82,20,18,33,40,30,19,96,80,80,10,52,18,84,31,33,54,74,43,65,90,19,5,9,74,79,43,78,33,5,12,24,16,63
0,4,71,88,87,54,45,14,24,49,94,76,4,63,72,17,31,100,59,67,48,1,34,85,46,23,77,32,45,48,5,93,35,55,86,45,93,28,23,60
0,1,69,75,51,22,4,49,37,13,49,16,93,66,66,61,75,42,52,1,30,24,21,37,34,43,70,51,55,68,32,100,3,31,99,68,70,15,45,25
0,4,74,13,44,50,54,88,95,21,10,96,8,87,60,26,7,3,19,82,4,21,99,32,82,23,63,84,93,69,98,24,25,19,85,97,47,53,96,24
1,4,61,56,47,88,65,72,38,21,49,48,22,31,92,40,89,7,45,53,67,75,72,89,64,14,50,43,42,99,54,19,39,7,68,36,84,19,54,27
1,1,87,9,53,57,17,72,56,45,59,57,33,17,91,54,24,95,16,55,41,8,67,18,90,67,15,71,85,66,56,78,9,27,33,5,29,62,74,40
0,3,85,52,94,73,98,37,47,9,19,6,13,60,32,50,77,7,10,50,33,10,17,26,31,32,9,4,22,12,26,16,94,23,25,25,37,75,4,41
1,2,52,89,84,49,53,73,58,96,65,55,25,38,38,17,76,55,41,91,3,34,95,62,45,40,34,70,9,58,100,78,13,3,66,100,82,48,67,16
1,4,1,20,46,84,76,47,11,74,55,97,81,54,23,61,100,69,61,47,67,61,6,59,17,59,14,67,38,43,25,87,96,89,54,21,16,74,92,63
0,1,40,75,79,88,85,98,92,74,77,98,74,30,88,80,52,85,15,84,9,38,81,12,82,18,2,33,40,78,15,85,77,64,87,67,63,85,28,68
0,4,83,74,92,50,46,10,75,66,69,58,56,7,18,55,41,14,31,69,20,70,39,19,73,50,79,23,62,96,81,99,89,42,31,9,30,89,42,87
1,3,7,10,43,62,52,68,86,94,71,12,3,36,58,22,31,39,38,40,89,35,7,91,25,25,41,78,40,26,66,89,87,78,22,33,83,89,50,44
0,2,35,52,7,76,41,10,11,7,88,37,3,12,97,90,36,34,88,54,48,26,12,27,8,78,42,10,40,13,4,51,95,76,42,92,19,21,98,92
0,1,86,73,79,26,5,51,61,33,21,3,55,15,40,92,34,72,31,95,99,22,97,20,55,14,91,87,39,14,14,44,65,65,11,65,86,42,82,89
0,4,65,95,92,44,93,97,15,64,47,25,78,71,65,77,19,17,85,55,40,32,81,61,11,56,34,85,99,31,97,92,44,48,74,59,22,2,75,49
1,3,94,41,27,96,67,6,92,7,25,66,66,24,71,41,31,68,22,68,38,71,35,16,26,27,73,62,3,52,90,82,70,54,95,39,88,94,99,70
0,2,49,71,40,99,53,80,56,41,47,62,64,25,49,66,50,28,5,79,79,42,98,50,47,13,54,8,57,32,71,46,4,81,68,34,49,92,20,16
0,4,67,28,21,62,93,24,12,5,4,18,97,51,81,75,12,77,65,5,62,13,2,19,88,82,76,66,68,97,63,86,43,69,78,85,59,93,51,25
1,1,76,24,30,3,72,31,84,23,22,91,45,77,1,88,1,50,11,88,4,94,44,50,5,79,23,25,40,38,80,54,45,98,8,25,9,60,25,2
0,1,81,88,83,85,46,54,81,53,97,56,73,84,45,26,63,91,17,94,1,74,13,13,48,5,52,72,28,67,16,70,66,69,28,27,48,83,55,36
0,1,22,21,99,39,60,51,75,6,30,91,94,100,72,53,67,21,46,98,23,21,60,83,39,49,34,27,76,93,20,23,16,23,40,49,50,1,64,63
1,3,31,76,58,59,18,65,51,33,28,44,57,98,16,94,81,49,13,28,14,61,6,9,51,23,94,92,75,18,84,58,30,39,30,91,17,38,62,91
1,4,77,69,28,91,68,23,66,73,30,45,31,31,73,67,69,64,10,73,26,2,41,96,39,64,75,71,75,56,81,34,8,39,75,30,81,52,10,24
0,4,43,50,42,35,97,30,65,81,89,25,20,45,54,10,7,90,62,90,76,35,72,97,77,88,58,50,69,8,35,46,7,88,28,89,14,51,77,24
0,3,56,90,53,75,49,20,82,23,70,13,8,98,52,91,83,69,1,46,80,46,40,22,80,25,90,88,50,18,48,16,3,76,48,30,18,61,76,9
0,3,12,20,5,79,19,72,88,12,5,95,69,37,53,80,41,19,39,18,56,49,75,70,51,98,75,93,94,61,83,24,97,85,19,82,91,72,17,100
0,1,86,63,97,62,70,72,70,55,35,49,32,2,32,43,35,25,61,90,90,12,83,72,86,97,98,82,16,41,57,64,96,88,96,21,44,6,3,53
1,2,79,44,72,43,48,14,89,78,65,81,49,25,12,41,33,37,47,89,59,87,77,87,95,86,10,21,27,52,28,31,88,63,90,58,17,36,96,26
0,4,22,95,36,99,24,92,82,47,89,6,9,28,10,17,51,94,80,17,46,77,99,86,59,17,14,3,21,3,18,37,9,15,30,2,5,46,99,61
0,1,21,30,20,32,68,55,6,65,66,17,10,27,49,96,92,80,51,90,28,59,63,28,68,48,8,50,30,44,77,17,69,62,28,55,15,40,67,78
0,2,50,79,39,29,2,68,60,1,43,9,19,49,69,45,68,76,17,77,71,62,59,69,80,8,15,61,38,90,21,57,94,81,36,82,86,83,21,47
1,1,5,84,70,23,39,97,92,56,89,92,82,29,5,44,55,29,87,51,74,81,79,69,9,100,41,45,47,42,65,67,88,41,23,2,15,5,69,96
1,3,53,32,71,3,97,12,94,44,55,85,8,69,14,90,10,62,40,86,88,89,58,61,3,36,92,23,81,36,20,20,83,8,40,9,62,22,47,54
0,2,9,5,53,45,33,73,79,87,56,81,42,18,40,40,93,4,54,91,82,38,57,52,35,20,45,48,87,81,56,53,48,63,55,28,9,28,96,26
1,3,65,29,23,88,4,93,57,26,41,72,37,79,60,64,98,26,95,51,95,75,58,2,68,4,63,80,22,39,27,96,91,66,57,36,28,98,53,23
0,1,60,29,85,41,71,12,85,71,40,24,43,89,21,55,43,54,6,46,63,94,47,72,39,9,31,14,56,44,5,34,53,14,86,43,21,86,10,71
1,3,50,99,6,75,99,34,85,45,82,71,19,11,27,35,22,70,86,42,85,45,80,47,55,13,27,67,25,2,41,70,15,78,16,32,89,85,90,35
1,1,100,69,48,89,15,88,31,96,18,92,59,49,72,48,38,76,72,98,99,16,2,83,1,43,15,29,46,29,27,8,66,18,90,97,54,62,41,6
0,2,94,86,98,49,95,64,81,8,50,12,79,61,7,18,43,44,39,53,33,5,27,72,11,31,74,65,28,1,93,21,76,90,10,98,79,56,11,39
0,1,80,80,61,44,15,1,75,21,26,3,30,86,40,33,47,60,45,4,5,37,56,81,47,69,7,21,67,89,98,65,72,63,90,3,80,26,87,17
0,1,22,9,23,76,35,75,54,36,97,94,80,79,34,53,73,86,50,40,91,63,14,33,2,4,54,91,46,12,91,40,49,62,42,54,12,35,51,30
1,3,89,7,77,53,23,58,100,54,77,14,94,19,86,50,42,64,48,57,12,12,33,80,55,31,21,47,77,97,76,97,47,4,3,31,13,63,35,64
0,1,28,70,44,83,6,78,74,10,86,94,7,25,88,9,63,67,59,9,65,25,62,56,93,71,41,84,91,79,76,50,33,60,76,72,39,56,37,75
0,2,26,34,29,40,89,71,72,65,89,86,37,3,85,21,93,70,5,51,97,48,79,63,73,78,28,29,57,21,44,39,47,97,93,38,88,47,59,14
1,2,32,10,83,89,63,84,60,8,54,85,95,88,52,26,89,32,6,50,68,77,27,18,13,88,90,82,11,32,19,16,19,63,63,26,39,94,73,12
0,4,90,11,86,29,8,84,5,86,56,59,7,85,41,24,60,44,28,50,10,15,64,7,32,7,49,66,22,13,49,45,80,83,46,75,66,8,17,51
1,1,84,15,100,72,59,77,25,15,18,86,81,15,24,64,76,14,12,73,90,21,5,96,54,94,28,23,56,60,1,35,49,20,69,46,70,80,12,22
1,3,46,97,53,22,23,85,59,6,60,33,44,44,87,95,87,15,87,51,38,7,73,44,97,50,45,64,20,27,85,19,57,47,74,16,17,100,64,61
1,1,33,75,10,50,96,100,5,79,46,53,88,68,51,60,29,51,18,87,6,94,61,99,20,43,19,78,55,14,62,95,22,47,61,2,54,12,93,64
1,4,49,69,67,96,94,33,90,36,79,65,26,87,96,12,76,51,29,10,18,21,56,24,97,42,51,63,4,39,51,76,63,12,33,38,10,83,73,89
1,1,17,85,75,71,36,56,87,89,70,75,62,48,26,32,7,90,51,60,96,54,10,69,31,59,76,82,20,66,77,87,2,84,71,70,52,74,2,39
1,2,64,21,5,75,11,33,17,39,49,29,33,93,89,82,35,5,27,69,35,12,77,71,92,18,90,26,68,37,54,61,45,43,48,82,84,39,83,8
1,4,39,14,81,52,59,58,22,50,6,44,56,84,88,62,24,42,58,93,62,83,60,65,56,70,15,83,20,26,68,29,91,53,42,24,21,47,33,32
1,4,57,63,77,42,20,91,38,41,20,8,37,66,42,80,23,39,58,37,67,11,44,41,55,83,77,40,16,11,53,99,83,38,83,10,94,41,79,35
0,3,8,26,89,56,54,66,48,8,14,49,19,51,81,64,42,39,36,41,81,89,64,69,58,27,44,14,21,58,21,38,29,23,77,10,82,34,46,27
0,3,21,17,54,2,29,59,46,29,73,28,99,56,85,18,63,79,66,2,99,33,33,98,98,86,26,65,53,78,35,65,32,74,21,32,18,63,100,16
1,4,77,98,19,21,96,91,67,46,64,67,29,91,88,88,67,86,4,81,29,96,1,58,9,47,20,69,99,69,22,25,58,16,76,89,11,64,74,86
0,2,21,35,3,39,14,68,44,64,31,18,48,99,31,3,45,41,59,67,42,71,91,39,88,15,75,55,33,30,49,32,63,22,72,37,60,47,47,81
0,2,81,93,19,32,68,11,78,13,49,26,13,2,66,98,32,70,24,36,44,68,78,97,91,60,88,72,8,19,14,68,74,36,19,100,17,46,51,39
0,1,67,2,5,78,1,60,37,50,58,87,77,95,85,23,89,44,78,27,28,95,60,30,58,69,15,32,61,86,43,16,45,95,29,73,97,31,44,44
1,1,17,82,36,29,8,71,70,21,40,81,58,58,10,41,35,49,19,82,88,83,68,91,51,29,69,19,96,49,57,54,35,59,67,5,16,26,42,3
1,3,66,87,89,25,36,24,98,64,26,54,31,64,68,95,35,39,54,56,56,30,97,54,36,61,54,74,19,6,93,33,67,19,59,96,48,22,51,16
1,3,27,82,80,98,68,8,81,9,90,2,37,34,14,72,96,34,32,62,79,84,25,44,83,26,49,48,54,82,55,48,89,84,15,66,81,12,56,53
1,1,37,71,75,71,100,52,10,79,51,22,99,89,100,12,39,18,70,43,15,11,2,60,54,98,59,97,47,74,26,36,76,64,86,32,88,5,77,22
0,2,94,10,78,61,73,21,64,7,70,20,37,57,44,27,66,64,2,56,86,26,86,22,83,86,27,4,75,38,43,67,84,100,2,16,1,31,59,29
1,1,96,23,68,90,89,75,36,62,76,16,30,51,13,81,79,28,56,63,35,85,32,81,1,85,20,16,16,10,42,75,77,93,82,31,8,20,10,35
0,1,78,76,28,16,67,10,11,24,81,24,1,56,49,18,44,88,39,4,78,92,7,63,34,61,84,52,91,85,37,28,95,90,23,32,26,48,50,28
1,4,6,41,37,29,15,4,51,64,1,31,13,55,58,23,22,4,99,36,98,61,100,94,91,28,52,1,9,71,51,59,61,32,13,63,11,67,71,26
0,1,69,56,11,39,98,24,25,79,22,49,33,6,9,64,32,100,15,13,2,55,33,74,35,44,21,63,41,48,30,13,26,50,96,21,36,50,22,50
0,1,61,19,71,86,85,47,96,81,39,36,7,73,79,54,43,82,62,50,47,48,27,38,87,74,89,4,64,71,85,62,70,23,44,59,85,46,97,86
0,2,34,92,32,72,64,64,21,48,25,42,80,32,26,13,69,4,4,77,65,50,14,33,95,58,45,69,20,62,47,61,98,32,54,25,34,34,66,35
1,4,19,53,65,19,61,73,18,21,26,8,56,25,38,46,24,67,100,32,40,39,37,35,30,76,81,13,46,63,43,100,94,53,55,54,6,36,35,44
1,3,42,97,48,63,15,86,37,42,63,47,62,99,32,78,45,62,32,54,100,68,44,64,42,40,19,59,100,23,22,25,64,74,9,77,5,24,73,65
1,4,37,64,92,98,56,4,19,22,31,44,51,51,16,23,15,88,96,35,29,99,93,5,18,83,44,4,85,14,14,26,77,3,87,54,26,1,11,62
0,2,34,96,66,45,45,78,84,19,34,45,68,68,37,74,25,92,29,58,17,51,67,22,50,67,13,75,70,60,34,22,13,46,27,32,50,89,40,32
0,2,86,80,89,22,62,37,96,54,88,94,77,46,27,76,84,92,3,73,64,40,19,30,23,31,69,5,84,52,12,20,89,17,52,58,30,8,78,59
0,4,88,66,14,71,31,54,48,44,59,98,41,51,34,82,73,68,80,55,74,12,42,6,19,81,25,53,98,50,14,94,15,49,68,35,79,4,72,26
0,1,19,4,65,23,33,77,58,91,88,9,53,2,88,85,49,44,2,19,10,73,40,39,17,37,36,46,26,2,41,80,69,16,19,63,64,52,77,15
0,1,47,90,55,30,58,4,82,86,34,67,69,1,81,47,19,53,9,9,13,32,49,68,41,96,60,13,90,58,45,7,30,40,100,90,31,19,4,32
0,4,86,36,62,45,87,64,89,29,74,18,90,57,19,30,56,83,84,94,58,79,40,61,59,40,6,3,13,42,55,15,79,86,68,44,10,75,100,63
0,2,16,38,48,66,39,35,21,34,15,93,58,12,64,86,55,28,23,41,51,89,97,43,8,40,86,26,97,78,87,46,2,50,16,39,90,68,26,64
1,2,42,92,54,32,50,72,11,22,11,71,17,16,1,13,34,78,70,16,10,18,97,48,50,92,55,53,35,99,72,57,32,48,83,32,39,27,75,11
1,1,70,88,56,46,36,62,66,17,22,13,69,68,70,47,61,88,91,79,27,23,94,46,16,3,7,1,57,11,46,55,70,57,16,31,34,61,51,97
1,2,27,81,62,76,98,69,32,1,9,65,63,82,61,32,54,7,14,8,2,71,91,19,34,10,93,43,52,71,30,83,62,86,16,63,23,89,45,35
0,3,22,32,98,49,56,93,63,63,47,80,9,57,27,97,78,36,18,56,14,5,88,30,21,66,63,70,24,33,73,41,100,48,46,81,20,17,64,2
0,3,88,88,93,67,8,11,34,66,99,79,84,64,91,43,93,56,45,59,33,33,49,91,5,48,9,47,58,97,98,40,69,37,50,36,3,77,3,20
1,2,20,23,92,94,44,98,4,76,33,69,5,33,75,72,48,79,73,41,4,85,95,24,38,9,36,64,77,69,13,89,29,23,8,35,7,77,36,73
1,4,85,57,81,12,23,50,83,75,51,10,19,52,42,18,85,17,2,35,27,49,45,43,82,21,1,67,41,3,2,91,59,2,31,48,64,94,81,67
0,2,61,61,2,98,46,11,100,44,66,32,83,46,67,63,35,59,62,52,53,44,50,67,37,76,88,66,14,44,4,65,9,54,46,32,59,81,50,41
1,2,83,88,48,69,58,33,29,45,4,84,1,92,100,57,39,66,53,68,30,87,79,9,37,76,79,73,28,25,25,19,40,66,76,59,30,38,11,60
1,4,95,72,79,99,32,17,43,85,58,36,69,75,14,79,23,4,69,3,22,93,37,62,29,72,42,65,55,100,67,23,77,21,47,62,19,69,44,86
1,1,4,61,97,87,58,63,41,38,1,5,6,29,44,91,54,79,26,26,25,19,93,94,69,30,45,70,17,77,95,23,23,83,38,22,49,86,92,40
1,3,57,76,61,98,6,20,58,92,42,52,79,26,84,88,63,83,2,48,54,85,95,28,59,57,42,49,89,84,75,47,13,34,43,10,35,44,73,30
0,3,74,19,10,33,95,64,5,33,100,13,46,27,40,94,44,4,75,86,18,86,83,79,71,7,51,90,33,16,71,58,85,14,67,30,56,32,72,24
1,2,15,10,64,81,52,12,49,6,93,4,21,94,52,98,70,35,1,91,53,14,26,93,63,66,33,63,3,36,32,46,70,82,23,91,15,75,10,100
1,3,50,36,84,61,2,66,97,4,17,94,41,31,80,11,18,80,30,65,58,86,8,48,4,32,47,84,98,48,19,13,79,29,43,61,56,16,52,31
1,3,61,86,2,65,20,63,80,100,31,41,99,88,1,84,96,64,1,50,70,47,60,93,70,96,33,67,41,23,74,53,44,20,45,89,12,43,38,86
1,3,68,100,42,31,33,79,39,77,7,70,66,26,48,82,62,34,16,59,2,61,75,60,7,45,5,50,88,10,61,95,55,25,91,4,30,27,16,81
1,2,25,92,4,15,77,20,17,74,37,5,57,46,52,66,69,41,72,38,86,85,13,77,90,68,62,57,52,67,48,50,65,70,42,6,93,67,67,48
1,1,58,43,69,67,21,76,7,3,8,36,93,31,74,59,16,70,26,72,100,59,14,51,13,2,91,77,49,60,40,30,100,89,93,23,80,64,89,37
1,3,74,29,45,10,44,90,11,78,81,80,9,86,6,11,53,76,61,1,81,43,50,20,77,95,31,84,16,38,79,19,16,8,41,86,77,100,61,57
0,1,73,7,70,57,38,40,35,22,30,37,32,2,74,33,68,56,67,94,24,41,26,22,44,43,55,55,23,18,51,51,72,100,18,7,18,3,55,81
1,4,49,65,39,87,53,83,44,75,23,94,47,59,20,97,46,44,19,95,93,28,44,93,87,14,6,61,46,26,92,27,42,79,5,10,51,85,98,73
1,4,4,80,49,68,92,9,34,81,66,92,21,10,7,27,67,16,58,8,52,96,65,53,84,53,99,31,96,46,90,41,6,81,2,18,78,34,7,81
1,1,100,9,86,65,76,83,69,79,21,39,2,74,35,71,17,78,10,14,12,84,15,45,19,9,83,97,100,100,88,41,65,70,90,39,23,14,69,61
0,3,66,45,51,21,62,80,71,68,21,99,100,48,2,50,8,64,9,19,63,72,19,76,60,4,77,14,11,100,62,17,63,89,19,1,50,20,2,51
1,1,24,29,1,2,77,64,11,30,44,75,61,44,42,73,40,93,81,12,43,86,71,97,33,36,57,52,59,4,12,22,61,47,67,9,5,12,44,42
0,3,26,39,74,2,26,56,94,19,64,13,4,84,68,26,23,73,88,89,48,76,42,37,94,20,43,64,11,6,25,37,83,16,9,88,66,7,13,27
0,2,91,36,4,75,22,65,55,19,86,52,96,45,57,1,79,76,85,9,35,21,23,66,34,45,63,87,90,16,94,24,62,45,34,98,36,18,76,47
0,3,99,18,92,88,19,4,39,92,43,26,72,25,61,16,23,98,100,49,85,65,30,43,95,84,87,74,60,68,65,31,19,76,42,15,60,82,52,22
0,3,92,47,20,87,70,63,45,8,77,15,26,12,27,53,91,60,98,49,57,63,71,13,93,94,87,58,65,2,22,42,23,12,61,22,68,58,37,34
1,2,60,44,82,69,4,89,10,61,50,62,28,70,74,26,94,63,16,20,85,11,67,27,73,6,46,84,43,86,13,38,70,41,37,37,83,21,46,31
1,1,39,8,56,55,59,42,9,2,49,4,76,100,63,8,86,89,81,10,50,13,63,83,53,59,96,33,14,17,14,39,12,60,76,50,95,86,51,89
1,2,86,100,58,1,56,93,100,20,88,26,80,10,65,33,12,56,98,62,79,54,21,77,5,33,73,77,99,95,61,53,14,47,87,13,56,65,89,64
1,4,48,33,32,55,69,3,70,71,22,33,16,3,9,24,51,95,95,77,32,40,96,82,100,29,92,29,49,74,44,50,86,29,68,26,69,21,52,34
